[01:07:11] [Craft Scheduler Thread - 0/WARN]: java.net.SocketException: Network is unreachable
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/sun.nio.ch.DatagramChannelImpl.send0(Native Method)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/sun.nio.ch.DatagramChannelImpl.sendFromNativeBuffer(DatagramChannelImpl.java:901)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/sun.nio.ch.DatagramChannelImpl.send(DatagramChannelImpl.java:863)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/sun.nio.ch.DatagramChannelImpl.send(DatagramChannelImpl.java:821)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/sun.nio.ch.DatagramChannelImpl.blockingSend(DatagramChannelImpl.java:853)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/sun.nio.ch.DatagramSocketAdaptor.send(DatagramSocketAdaptor.java:218)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/java.net.DatagramSocket.send(DatagramSocket.java:665)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at com.gitlab.ruany.lanbroadcaster.LANBroadcaster.broadcast(LANBroadcaster.java:54)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at com.gitlab.ruany.lanbroadcaster.LANBroadcaster.run(LANBroadcaster.java:43)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at org.bukkit.craftbukkit.v1_20_R3.scheduler.CraftTask.run(CraftTask.java:82)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at org.bukkit.craftbukkit.v1_20_R3.scheduler.CraftAsyncTask.run(CraftAsyncTask.java:54)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1136)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:635)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: 	at java.base/java.lang.Thread.run(Thread.java:833)
[01:07:11] [Craft Scheduler Thread - 0/WARN]: [LANBroadcaster] Failed to broadcast, trying again in 10 seconds...
[01:07:21] [Craft Scheduler Thread - 0/WARN]: [LANBroadcaster] Failed to broadcast, trying again in 10 seconds...
[01:07:31] [Craft Scheduler Thread - 0/WARN]: [LANBroadcaster] Failed to broadcast, trying again in 10 seconds...
[01:21:41] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2539ms or 50 ticks behind
[01:21:59] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3752ms or 75 ticks behind
[01:22:20] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5713ms or 114 ticks behind
[01:22:40] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4705ms or 94 ticks behind
[01:22:57] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2686ms or 53 ticks behind
[01:27:44] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2501ms or 50 ticks behind
[01:42:18] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2503ms or 50 ticks behind
[01:42:44] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2505ms or 50 ticks behind
[01:43:14] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2506ms or 50 ticks behind
[01:43:31] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2517ms or 50 ticks behind
[01:44:01] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2506ms or 50 ticks behind
[02:01:17] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2520ms or 50 ticks behind
[02:01:34] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2587ms or 51 ticks behind
[02:01:57] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 7358ms or 147 ticks behind
[02:02:20] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 8625ms or 172 ticks behind
[02:02:44] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 8879ms or 177 ticks behind
[02:03:04] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5145ms or 102 ticks behind
[02:03:25] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5839ms or 116 ticks behind
[02:03:44] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3973ms or 79 ticks behind
[02:04:04] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5260ms or 105 ticks behind
[02:04:25] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5376ms or 107 ticks behind
[02:04:45] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5920ms or 118 ticks behind
[02:05:06] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5559ms or 111 ticks behind
[02:05:27] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5604ms or 112 ticks behind
[02:05:46] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4448ms or 88 ticks behind
[02:06:05] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4206ms or 84 ticks behind
